iter	RMSE
127	4.382742711
128	4.379665224
129	4.372909852
130	4.36128979
131	4.352757418
132	4.347515186
133	4.344665671
134	4.343949876
135	4.334327531
136	4.315297756
137	4.305746085
138	4.299896748
139	4.290449581
140	4.282527051
141	4.274481246
142	4.265098482
143	4.263390849
144	4.251150328
145	4.249270731
146	4.242382201
147	4.23581007
148	4.216302543
149	4.207954399
150	4.198156164
151	4.193085386
152	4.19077093
153	4.182017037
154	4.173467606
155	4.167400774
156	4.166461705
157	4.162697378
158	4.153972804
159	4.145586264
160	4.138289513
161	4.134950215
162	4.131515442
163	4.119029061
164	4.111408894
165	4.10296338
166	4.098914799
167	4.091399006
168	4.088638265
169	4.081875303
170	4.078185396
171	4.075332945
172	4.071859139
173	4.066922032
174	4.054478495
175	4.048437746
176	4.047479034
177	4.035118239
178	4.032878426
179	4.030664782
180	4.020596148
181	4.012153666
182	4.005109454
183	3.989681112
184	3.989037919
185	3.982501161
186	3.973713286
187	3.96211488
188	3.950641062
189	3.945546867
190	3.944182246
191	3.94018823
192	3.932358563
193	3.918926618
194	3.907154868
195	3.904436976
196	3.902893422
197	3.902262567
198	3.896838789
199	3.890220971
200	3.878850928
201	3.872950633
202	3.871706023
203	3.869039458
204	3.867427914
205	3.865904125
206	3.862700914
207	3.859110841
208	3.8585606
209	3.85685829
210	3.85414575
211	3.850097505
212	3.847405867
213	3.843723646
214	3.832063292
215	3.827563107
216	3.820932471
217	3.818098801
218	3.812036418
219	3.808323947
220	3.807442377
221	3.805464015
222	3.803175676
223	3.802023729
224	3.797816401
225	3.785281271
226	3.784825742
227	3.777589685
228	3.765891391
229	3.762084839
230	3.756165047
231	3.748542339
232	3.745220265
233	3.738535748
234	3.729158497
235	3.726445623
236	3.720830183
237	3.709490424
238	3.705528806
239	3.695307459
240	3.691935395
241	3.687403731
242	3.679850177
243	3.67204069
244	3.662038751
245	3.658354311
246	3.64908929
247	3.639042099
248	3.635125442
249	3.633330227
250	3.625306953
251	3.622798019
252	3.615834354
253	3.607038943
254	3.601143828
255	3.600296496
256	3.594713828
257	3.590258824
258	3.584862656
259	3.580583242
260	3.5788191
261	3.571769164
262	3.566722296
263	3.55948403
264	3.549107906
265	3.545088899
266	3.54417364
267	3.542295502
268	3.539540654
269	3.533681988
270	3.532079753
271	3.529255343
272	3.520663698
273	3.512713152
274	3.51188962
275	3.502632464
276	3.497138925
277	3.494177886
278	3.488784157
279	3.480304111
280	3.472465674
281	3.464225212
282	3.45848361
283	3.452722799
284	3.450554594
285	3.449313992
286	3.447222237
287	3.438830907
288	3.428866379
289	3.424304176
290	3.418360767
291	3.415541703
292	3.409463835
293	3.39746332
294	3.391882518
295	3.38540002
296	3.38251374
297	3.381641909
298	3.378907976
299	3.375995102
300	3.375593037
301	3.3727781
302	3.371928516
303	3.370268399
304	3.366119494
305	3.36264395
306	3.358996437
307	3.35152989
308	3.349626972
309	3.346320984
310	3.343485957
311	3.335162147
312	3.333276935
313	3.326618252
314	3.326441405
315	3.32561759
316	3.321734113
317	3.319857882
318	3.310683685
319	3.304040122
320	3.303185846
321	3.299892999
322	3.286841454
323	3.28247044
324	3.279951839
325	3.272430217
326	3.270196561
327	3.268542214
328	3.261963474
329	3.255513098
330	3.249537299
331	3.247053
332	3.245244676
333	3.243979604
334	3.238359091
335	3.231686403
336	3.229738081
337	3.228296734
338	3.224336583
339	3.215972228
340	3.212178072
341	3.207159456
342	3.196810252
343	3.193161216
344	3.190015485
345	3.185826878
346	3.179205583
347	3.174185951
348	3.167819139
349	3.167561039
350	3.163723865
351	3.161173422
352	3.160798351
353	3.151454837
354	3.145662217
355	3.139135328
356	3.134255574
357	3.129778413
358	3.128906446
359	3.128549255
360	3.120793391
361	3.118855688
362	3.113791728
363	3.113093697
364	3.108018323
365	3.104053993
366	3.097730357
367	3.095495263
368	3.094236529
369	3.091538743
370	3.084800769
371	3.077958512
372	3.075044121
373	3.072273622
374	3.066682033
375	3.059236572
376	3.058933595
377	3.055113334
378	3.05166586
379	3.048864137
380	3.043916277
381	3.040307709
382	3.037570228
383	3.036787751
384	3.034270002
385	3.030461694
386	3.027616689
387	3.027241749
388	3.02302617
389	3.01705473
390	3.01464404
391	3.008473341
392	3.006166516
393	3.003841375
394	3.001902819
395	3.001690984
396	2.997751957
397	2.995512585
398	2.990966089
399	2.988588314
400	2.986245936
401	2.980757732
402	2.975202652
403	2.970613875
404	2.969435961
405	2.967772154
406	2.961967807
407	2.957863962
408	2.957473164
409	2.955462677
410	2.953761555
411	2.947671052
412	2.945114148
413	2.939460089
414	2.937678732
415	2.934924453
416	2.931132195
417	2.927342471
418	2.925199257
419	2.924923801
420	2.921244853
421	2.917056405
422	2.913132606
423	2.908453209
424	2.90151419
425	2.898792494
426	2.89314828
427	2.887406443
428	2.884212842
429	2.881104221
430	2.8808634
431	2.879136593
432	2.877418913
433	2.87351461
434	2.865953945
435	2.862877768
436	2.860355714
437	2.858315397
438	2.855560086
439	2.852326334
440	2.851893042
441	2.85169552
442	2.848051746
443	2.847601663
444	2.845810899
445	2.843764725
446	2.841754594
447	2.839989486
448	2.836793653
449	2.830370432
450	2.8284553
451	2.825983505
452	2.81890705
453	2.815391921
454	2.807369787
455	2.806002183
456	2.80551426
457	2.802426283
458	2.800339802
459	2.797325224
460	2.795956092
461	2.793428519
462	2.789042932
463	2.785227015
464	2.782350415
465	2.776640796
466	2.773795025
467	2.76967134
468	2.765633983
469	2.761264617
470	2.758566344
471	2.757162524
472	2.756220856
473	2.754505788
474	2.75370931
475	2.749544832
476	2.748499447
477	2.744515408
478	2.742568899
479	2.740848531
480	2.735289271
481	2.733835272
482	2.727987739
483	2.726727528
484	2.724746433
485	2.724189354
486	2.721947271
487	2.721899132
488	2.71688686
489	2.71065281
490	2.708335041
491	2.70245562
492	2.699557464
493	2.698577411
494	2.694184171
495	2.690428709
496	2.689356799
497	2.68771753
498	2.684290221
499	2.683586144
500	2.681379632
501	2.679016668
502	2.676879582
503	2.674313294
504	2.672611436
505	2.672459136
506	2.672288091
507	2.67160312
508	2.670372249
509	2.667937771
510	2.665372698
511	2.660980973
512	2.660166692
513	2.659468706
514	2.656812447
515	2.652679734
516	2.647035433
517	2.642279137
518	2.641179983
519	2.641048124
520	2.63883754
521	2.6367439
522	2.634378241
523	2.633442767
524	2.631176987
525	2.627402928
526	2.626588255
527	2.625517508
528	2.625485166
529	2.619021539
530	2.61790487
531	2.61563714
532	2.614148993
533	2.613908409
534	2.613088776
535	2.611427889
536	2.603896158
537	2.601417246
538	2.596070828
539	2.595174597
540	2.59402333
541	2.591852611
542	2.590220848
543	2.590105033
544	2.588272675
545	2.58419584
546	2.582469011
547	2.577880492
548	2.571374698
549	2.570845253
550	2.566407599
551	2.565779287
552	2.564217865
553	2.561617743
554	2.558477464
555	2.558308524
556	2.555198125
557	2.550574904
558	2.547063123
559	2.544756916
560	2.541496192
561	2.54047563
562	2.537417653
563	2.533547006
564	2.533438885
565	2.531010383
566	2.527212561
567	2.522914386
568	2.52105509
569	2.518835574
570	2.517780437
571	2.517629579
572	2.517080582
573	2.513361187
574	2.511019192
575	2.507459105
576	2.506128122
577	2.505131706
578	2.504439864
579	2.503475316
580	2.502543344
581	2.498134077
582	2.496984859
583	2.493121124
584	2.491447743
585	2.491250985
586	2.487626909
587	2.484601559
588	2.482503583
589	2.481948081
590	2.480909192
591	2.478051589
592	2.473188548
593	2.470393016
594	2.465551186
595	2.463137264
596	2.460249771
597	2.456589756
598	2.452642594
599	2.445048116
600	2.439612831
601	2.435126507
602	2.431036999
603	2.430688615
604	2.429593289
605	2.427487419
606	2.425073562
607	2.422595801
608	2.421539339
609	2.41798402
610	2.415255915
611	2.414594718
612	2.412678079
613	2.410534975
614	2.409873624
615	2.409294429
616	2.406571388
617	2.406052549
618	2.403877903
619	2.399703568
620	2.398593461
621	2.397671895
622	2.396198078
623	2.393339226
624	2.391318304
625	2.389822322
626	2.386404262
627	2.384898326
628	2.382207235
629	2.381417959
630	2.380621853
631	2.379316988
632	2.370616648
633	2.366077205
634	2.364527602
635	2.362582661
636	2.360967276
637	2.359835912
638	2.357673356
639	2.356660666
640	2.356425764
641	2.353392581
642	2.35242918
643	2.347690611
644	2.346857368
645	2.346304322
646	2.341825534
647	2.341246443
648	2.339447703
649	2.336954627
650	2.335844287
651	2.334326675
652	2.333233849
653	2.327732244
654	2.322032771
655	2.321996907
656	2.321735263
657	2.320487589
658	2.317762387
659	2.31638614
660	2.312257345
661	2.310952203
662	2.310456315
663	2.31018868
664	2.30600649
665	2.304250632
666	2.303061681
667	2.30138654
668	2.29985373
669	2.298485587
670	2.297684142
671	2.293971383
672	2.289200117
673	2.286126575
674	2.284161724
675	2.281563006
676	2.281456169
677	2.280391278
678	2.280032583
679	2.276261906
680	2.273266362
681	2.271462273
682	2.26946172
683	2.267426714
684	2.265331755
685	2.264364595
686	2.262104322
687	2.256803781
688	2.254799964
689	2.248975946
690	2.245959625
691	2.244124642
692	2.243539838
693	2.241830843
694	2.241631962
695	2.235076752
696	2.230210597
697	2.229170285
698	2.228399812
699	2.2244418
700	2.222336345
701	2.220079794
702	2.215901976
703	2.214759183
704	2.213427948
705	2.211354644
706	2.207996375
707	2.203938471
708	2.201303839
709	2.199401055
710	2.19672135
711	2.195857436
712	2.195789633
713	2.19381394
714	2.192518578
715	2.191266797
716	2.190565118
717	2.187035106
718	2.186376065
719	2.185214588
720	2.183451624
721	2.181907409
722	2.178360917
723	2.177008337
724	2.176083455
725	2.171322117
726	2.169514937
727	2.168252095
728	2.166583484
729	2.165885442
730	2.161886366
731	2.159895567
732	2.157656731
733	2.154364052
734	2.15358973
735	2.153418714
736	2.153292177
737	2.147771481
738	2.147271157
739	2.146520683
740	2.144819784
741	2.143508194
742	2.139685137
743	2.139397424
744	2.138623787
745	2.136644322
746	2.13599202
747	2.133435067
748	2.132092228
749	2.129786102
750	2.12780818
751	2.127767807
752	2.12615989
753	2.125256036
754	2.123809335
755	2.122926024
756	2.122270114
757	2.12142384
758	2.120639827
759	2.118684898
760	2.116293371
761	2.115907134
762	2.114294779
763	2.110847347
764	2.110379245
765	2.109395424
766	2.108729756
767	2.108521684
768	2.104256082
769	2.100617576
770	2.097016028
771	2.095293091
772	2.094431116
773	2.093358323
774	2.091785987
775	2.089640323
776	2.085323559
777	2.084719786
778	2.082489293
779	2.077212886
780	2.074407897
781	2.070844193
782	2.07037259
783	2.065890738
784	2.061217492
785	2.060348695
786	2.05735337
787	2.055568279
788	2.054701403
789	2.05422826
790	2.049837378
791	2.048235086
792	2.044199494
793	2.040992863
794	2.040479687
795	2.037454743
796	2.034707452
797	2.033184779
798	2.031525173
799	2.028487406
800	2.027742057
801	2.025844351
802	2.025805064
803	2.025759848
804	2.022442814
805	2.021669507
806	2.020494239
807	2.017905823
808	2.016920913
809	2.014246211
810	2.011236944
811	2.008242965
812	2.008193985
813	2.008119199
814	2.007291367
815	2.006724147
816	2.004435352
817	2.002660074
818	2.002165902
819	1.999232157
820	1.99775629
821	1.995731752
822	1.993427998
823	1.991606597
824	1.991196979
825	1.991168064
826	1.991103659
827	1.989999493
828	1.988329559
829	1.988080099
830	1.983796128
831	1.982503243
832	1.979377384
833	1.977586898
834	1.975533432
835	1.971888698
836	1.971711676
837	1.970082215
838	1.967861413
839	1.966552988
840	1.96325926
841	1.963057957
842	1.959672642
843	1.956156953
844	1.955302473
845	1.954308217
846	1.953227162
847	1.952606548
848	1.951372388
849	1.947322045
850	1.945834728
851	1.945216015
852	1.942050578
853	1.940577138
854	1.937769032
855	1.936332809
856	1.932722311
857	1.931881155
858	1.930646485
859	1.929895221
860	1.928726506
861	1.927705391
862	1.924005998
863	1.922175965
864	1.921724664
865	1.919228716
866	1.917870553
867	1.91326054
868	1.910462081
869	1.908541281
870	1.908485973
871	1.908058822
872	1.904699105
873	1.904217758
874	1.901766523
875	1.900191668
876	1.898577109
877	1.894521421
878	1.890675089
879	1.886437592
880	1.885657709
881	1.883062438
882	1.879657044
883	1.878325134
884	1.876423249
885	1.874749705
886	1.874674921
887	1.872497452
888	1.86951177
889	1.86653916
890	1.866513873
891	1.865183235
892	1.862913899
893	1.860713314
894	1.858003039
895	1.855326831
896	1.852320406
897	1.84662597
898	1.843075436
899	1.841214095
900	1.840480798
901	1.838449582
902	1.837740112
903	1.835334426
904	1.834787475
905	1.833481982
906	1.833148349
907	1.831586832
908	1.83099603
909	1.829798721
910	1.829445054
911	1.828911824
912	1.82819033
913	1.824228271
914	1.822365226
915	1.821219107
916	1.818806158
917	1.817447644
918	1.816704249
919	1.815942545
920	1.814535439
921	1.813649475
922	1.813456471
923	1.813283877
924	1.811108052
925	1.809765851
926	1.806749453
927	1.806230552
928	1.80592097
929	1.80576545
930	1.803628757
931	1.80200391
932	1.799879466
933	1.7972594
934	1.796481883
935	1.794874708
936	1.794168432
937	1.790464637
938	1.78886106
939	1.787093985
940	1.78577916
941	1.784251643
942	1.783585488
943	1.781374948
944	1.779670782
945	1.778002485
946	1.774092598
947	1.772063928
948	1.767859631
949	1.765707575
950	1.765681928
951	1.762282217
952	1.761457106
953	1.759974601
954	1.759220897
955	1.757330194
956	1.752353444
957	1.751760079
958	1.750735999
959	1.748012765
960	1.747754517
961	1.746437617
962	1.74547417
963	1.744318316
964	1.743129577
965	1.741168412
966	1.740924531
967	1.740323177
968	1.738225684
969	1.737610157
970	1.736871115
971	1.734103531
972	1.731781457
973	1.727846155
974	1.727098477
975	1.72276915
976	1.720017363
977	1.718934202
978	1.71791076
979	1.716560543
980	1.716306997
981	1.715769442
982	1.714720975
983	1.713398691
984	1.712556053
985	1.709730354
986	1.706974464
987	1.705183058
988	1.704893533
989	1.704273169
990	1.70227943
991	1.701017257
992	1.697503383
993	1.697058176
994	1.696352495
995	1.696325023
996	1.693945594
997	1.691186048
998	1.68881284
999	1.688017951
